Filename	WT	FAD	FS
10_FS_1_2_R1.fq.gz	3	0	3
10_FS_1_R1.fq.gz	3	0	1
11__-_5_2_R1.fq.gz	15	0	0
11__-_5_R1.fq.gz	5	0	0
12__-_4_2_R1.fq.gz	7	0	0
12__-_4_R1.fq.gz	10	0	0
13__-_3_2_R1.fq.gz	8	0	0
13__-_3_R1.fq.gz	15	0	0
14__-_2_2_R1.fq.gz	11	0	0
14__-_2_R1.fq.gz	13	0	0
15__-_1_2_R1.fq.gz	9	0	0
15__-_1_R1.fq.gz	8	0	0
1_FAD_5_2_R1.fq.gz	1	2	0
1_FAD_5_R1.fq.gz	3	2	0
2_FAD_4_2_R1.fq.gz	4	6	0
2_FAD_4_R1.fq.gz	5	5	0
3_FAD_3_2_R1.fq.gz	3	9	0
3_FAD_3_R1.fq.gz	4	1	0
4_FAD_2_2_R1.fq.gz	9	3	0
4_FAD_2_R1.fq.gz	3	4	0
5_FS_2_2_R1.fq.gz	5	0	2
5_FS_2_R1.fq.gz	8	0	0
6_FAD_1_2_R1.fq.gz	1	5	0
6_FAD_1_R1.fq.gz	7	6	0
7_FS_5_2_R1.fq.gz	3	0	1
7_FS_5_R1.fq.gz	4	0	0
8_FS_4_2_R1.fq.gz	0	3	0
8_FS_4_R1.fq.gz	0	9	0
9_FS_3_2_R1.fq.gz	3	0	1
9_FS_3_R1.fq.gz	6	0	0
